"Years","Productivity","Laziness"
30,0.827511952898627,47.8905530186077
5,-0.742164803077265,25.59795273148
33,-0.129467906783293,52.5221661800268
21,0.329377952937239,55.4993274749404
22,2.18869744364678,0.813486184955401
16,1.7688756022159,42.8299632334432
10,-0.174764821413928,47.6084881511191
17,0.350144541350263,42.8592670486164
30,1.24089582176902,19.6545277823758
15,0.485110858412972,27.7258487218413
37,-0.33366719030405,58.5191049696806
22,1.09259134617076,17.3958291538944
23,0.131979809659857,65.0171050406326
25,0.00969134625470126,34.2669674718614
19,-0.211510787874494,45.9854303796213
6,-1.20919844328497,22.5433950777839
29,2.9810632972439,19.7248660563945
11,0.164862992584137,54.1871671488069
45,-0.203256976899524,38.3481939954752
20,0.73602671205206,21.6999596499815
48,-0.782674507342417,61.8373474672615
18,-0.204907739094518,8.618711594676
23,1.25661107786537,47.0536413252107
40,-0.409635266517674,55.5323595901889
20,-0.294048897624194,3.1265415694302
20,-0.714993257347664,57.3426841132262
49,-1.36704432437029,77.2556141726574
39,0.752534334002,67.9497797700216
32,0.487223834022565,34.7747913015355
10,-0.448065010417134,13.4025880246635
33,2.00711360219744,53.1839123023533
24,-0.30633056835495,46.4576808137178
33,0.6699962242523,20.8956115805972
17,1.28077823640008,64.6622060647417
25,0.0353772060088079,39.4632120953662
20,-1.07040235792987,77.4144212455557
16,-0.17975012324281,9.7880099807628
40,1.74645825160789,23.2396100899399
13,0.191275187704041,29.2244399459083
25,1.32204729127493,52.3561467192964
22,0.80205719985182,16.0945623439819
20,-0.0421756019120101,38.6948580600389
11,-1.01374819939768,21.4425887679657
17,-0.597425973820191,57.2551798851774
24,-0.21811383665447,35.7705836522939
31,0.290320919403681,64.9045548582427
19,1.69346878514858,29.9209594593058
32,-0.0141456598410121,21.6739294353518
30,0.757816773025981,17.1011062373804
37,-0.485537312243498,56.2636893738877
38,-0.36668243420393,45.970521031586
23,1.0826867730008,39.4127813102326
28,-0.0101838305730265,50.3000657424601
9,-0.775576229903943,45.3737357620088
8,-1.16234981219104,46.4197855987147
30,-0.746357739052549,63.5613547804285
47,-0.794229842707375,110.416613787684
17,-0.767817647587471,54.3781174622367
39,-0.211213650679395,59.5786662720993
13,0.527238309629219,9.2928786802818
8,-0.412573623224763,43.8372571991505
4,-1.34393365364038,2.2840177203813
56,2.41848354118994,46.2512779690064
14,-0.133924964709776,11.8930667662043
2,-0.947750726841817,31.7676837386753
