id,go_shopping_before_september
1,response:2
2,response:1
3,response:2
4,response:-1
5,response:0
6,response:-1
7,response:1
8,response:1
9,response:1
10,response:2
11,response:1
12,response:-1
13,response:1
14,response:0
15,response:-1
16,response:0
17,response:-2
18,response:-1
19,response:-2
20,response:0
21,response:-1
22,response:1
23,response:0
24,response:-1
25,response:1
26,response:0
27,response:-1
28,response:-1
29,response:0
30,response:0
31,response:-1
32,response:0
33,response:1
34,response:-1
35,response:0
36,response:1
37,response:1
38,response:2
39,response:1
40,response:1
41,response:0
42,response:-1
43,response:1
44,response:1
45,response:0
46,response:1
47,response:0
48,response:1
49,response:-1
50,response:0
51,response:1
52,response:1
53,response:1
54,response:1
55,response:-2
56,response:1
57,response:0
58,response:0
59,response:0
60,response:0
61,response:-1
62,response:1
63,response:1
64,response:-1
65,response:1
66,response:-1
67,response:1
68,response:-2
69,response:-1
70,response:0
71,response:-1
72,response:0
73,response:2
74,response:0
75,response:0
76,response:0
77,response:0
78,response:0
79,response:0
